latency,packet_loss,congestion,active_users,traffic_type,decision
107,4.98,4,199,NORMAL,LOW
131,4.84,1,444,NORMAL,LOW
140,1.17,6,213,RURAL,MEDIUM
52,3.56,5,248,RURAL,MEDIUM
128,1.25,2,55,EMERGENCY,HIGH
124,0.33,4,374,RURAL,MEDIUM
128,4.72,7,219,EMERGENCY,HIGH
123,4.66,7,79,EMERGENCY,HIGH
40,4.22,3,374,NORMAL,LOW
22,2.99,6,114,NORMAL,LOW
133,2.88,1,107,RURAL,MEDIUM
140,1.69,1,419,NORMAL,LOW
88,4.15,9,400,NORMAL,HIGH
78,0.4,1,250,NORMAL,LOW
21,2.32,8,351,NORMAL,HIGH
53,3.56,5,398,RURAL,MEDIUM
107,3.83,2,226,NORMAL,LOW
135,4.27,9,480,EMERGENCY,HIGH
132,0.78,8,195,EMERGENCY,HIGH
140,4.68,10,222,RURAL,HIGH
78,4.98,1,352,EMERGENCY,HIGH
100,1.85,5,329,EMERGENCY,HIGH
112,3.57,2,228,NORMAL,LOW
80,4.72,10,442,NORMAL,HIGH
26,0.77,6,129,NORMAL,LOW
127,4.48,7,89,RURAL,MEDIUM
47,2.04,1,174,NORMAL,LOW
43,3.88,5,407,EMERGENCY,HIGH
79,0.3,4,350,NORMAL,LOW
109,3.17,4,424,RURAL,MEDIUM
118,2.1,6,499,NORMAL,LOW
146,2.19,7,63,RURAL,MEDIUM
102,1.26,10,388,NORMAL,HIGH
121,1.65,8,292,EMERGENCY,HIGH
21,0.78,9,47,NORMAL,HIGH
49,1.79,3,152,NORMAL,LOW
84,1.15,3,331,RURAL,MEDIUM
127,0.53,3,153,EMERGENCY,HIGH
118,4.12,8,195,EMERGENCY,HIGH
62,4.04,7,323,RURAL,MEDIUM
23,4.45,4,151,NORMAL,LOW
52,1.19,6,483,EMERGENCY,HIGH
127,4.95,5,267,NORMAL,LOW
91,2.28,8,185,RURAL,HIGH
26,0.2,5,116,EMERGENCY,HIGH
83,1.3,5,27,RURAL,MEDIUM
116,4.15,1,46,EMERGENCY,HIGH
31,4.25,1,472,NORMAL,LOW
104,3.67,8,419,NORMAL,HIGH
143,1.52,1,103,RURAL,MEDIUM
67,4.35,7,475,NORMAL,LOW
128,0.93,1,263,RURAL,MEDIUM
49,2.46,2,75,NORMAL,LOW
147,3.84,2,32,NORMAL,LOW
43,3.15,7,301,NORMAL,LOW
139,1.33,6,12,NORMAL,LOW
30,2.38,2,105,RURAL,MEDIUM
71,1.67,5,285,NORMAL,LOW
41,2.93,4,154,RURAL,MEDIUM
49,2.95,8,402,EMERGENCY,HIGH
71,2.99,2,238,RURAL,MEDIUM
50,3.76,4,296,RURAL,MEDIUM
123,0.81,5,197,EMERGENCY,HIGH
140,1.85,2,464,EMERGENCY,HIGH
33,3.56,2,193,RURAL,MEDIUM
115,4.61,2,341,NORMAL,LOW
78,1.49,8,340,RURAL,HIGH
107,2.79,2,397,NORMAL,LOW
80,1.03,10,165,NORMAL,HIGH
103,4.53,8,421,NORMAL,HIGH
96,2.45,1,405,RURAL,MEDIUM
62,4.42,6,373,RURAL,MEDIUM
105,2.84,8,78,EMERGENCY,HIGH
55,3.61,2,447,RURAL,MEDIUM
56,1.12,9,65,NORMAL,HIGH
123,0.78,6,22,EMERGENCY,HIGH
150,3.86,1,153,NORMAL,LOW
143,0.15,6,405,NORMAL,LOW
46,0.97,6,161,NORMAL,LOW
117,3.48,4,444,NORMAL,LOW
148,3.37,9,191,NORMAL,HIGH
49,1.97,1,341,EMERGENCY,HIGH
91,4.82,3,322,NORMAL,LOW
52,2.2,1,210,NORMAL,LOW
65,1.97,1,458,RURAL,MEDIUM
102,0.84,5,321,RURAL,MEDIUM
111,2.28,3,414,EMERGENCY,HIGH
112,1.65,10,408,RURAL,HIGH
34,0.01,10,199,EMERGENCY,HIGH
97,4.98,10,270,EMERGENCY,HIGH
127,1.21,6,482,RURAL,MEDIUM
31,0.99,4,352,EMERGENCY,HIGH
67,3.73,6,149,NORMAL,LOW
142,3.99,2,417,NORMAL,LOW
64,3.36,10,287,EMERGENCY,HIGH
142,1.99,6,327,RURAL,MEDIUM
113,1.5,9,444,NORMAL,HIGH
103,2.47,10,199,EMERGENCY,HIGH
145,2.04,3,349,EMERGENCY,HIGH
49,2.43,8,295,EMERGENCY,HIGH
46,0.57,7,429,RURAL,MEDIUM
65,0.72,1,340,RURAL,MEDIUM
103,0.02,9,200,RURAL,HIGH
27,1.06,10,329,EMERGENCY,HIGH
138,2.9,5,237,NORMAL,LOW
102,4.6,7,345,NORMAL,LOW
123,0.45,10,93,NORMAL,HIGH
108,4.36,2,412,EMERGENCY,HIGH
78,2.98,9,373,NORMAL,HIGH
85,2.69,6,423,RURAL,MEDIUM
58,2.97,3,435,NORMAL,LOW
76,3.19,6,286,NORMAL,LOW
113,0.39,6,215,EMERGENCY,HIGH
140,0.21,10,178,NORMAL,HIGH
41,4.91,9,197,RURAL,HIGH
50,4.29,6,109,NORMAL,LOW
110,1.24,2,489,RURAL,MEDIUM
32,0.82,5,369,NORMAL,LOW
100,0.27,3,23,EMERGENCY,HIGH
80,1.41,3,181,EMERGENCY,HIGH
118,3.28,7,363,EMERGENCY,HIGH
26,0.07,1,494,EMERGENCY,HIGH
136,2.27,7,190,RURAL,MEDIUM
140,4.75,7,411,EMERGENCY,HIGH
82,4.83,9,103,EMERGENCY,HIGH
40,3.44,3,65,NORMAL,LOW
84,0.6,4,69,RURAL,MEDIUM
89,3.85,6,14,EMERGENCY,HIGH
30,0.43,5,397,RURAL,MEDIUM
45,1.46,8,442,NORMAL,HIGH
128,0.66,4,218,EMERGENCY,HIGH
140,0.08,3,241,RURAL,MEDIUM
67,2.55,9,14,EMERGENCY,HIGH
104,0.37,6,412,NORMAL,LOW
147,0.25,4,79,EMERGENCY,HIGH
116,0.54,9,253,RURAL,HIGH
82,2.21,1,60,NORMAL,LOW
97,4.56,7,250,NORMAL,LOW
75,3.14,8,409,NORMAL,HIGH
59,1.98,9,368,NORMAL,HIGH
60,4.43,4,11,NORMAL,LOW
82,2.85,4,145,NORMAL,LOW
131,3.77,5,233,NORMAL,LOW
141,4.3,3,167,RURAL,MEDIUM
101,1.32,5,335,NORMAL,LOW
131,3.03,1,336,RURAL,MEDIUM
38,4.58,9,416,NORMAL,HIGH
120,1.07,6,272,NORMAL,LOW
131,4.61,5,410,NORMAL,LOW
56,2.52,7,148,NORMAL,LOW
131,1.38,5,434,RURAL,MEDIUM
38,2.96,10,265,RURAL,HIGH
57,0.38,7,409,EMERGENCY,HIGH
138,3.39,1,143,NORMAL,LOW
31,4.0,8,336,RURAL,HIGH
132,1.93,3,234,NORMAL,LOW
134,0.99,2,478,EMERGENCY,HIGH
45,1.65,6,77,NORMAL,LOW
35,0.43,3,493,RURAL,MEDIUM
71,4.96,3,288,EMERGENCY,HIGH
93,2.55,9,467,NORMAL,HIGH
149,3.31,8,49,NORMAL,HIGH
143,4.92,7,111,RURAL,MEDIUM
49,2.14,10,125,RURAL,HIGH
130,4.26,3,140,NORMAL,LOW
29,4.77,3,103,NORMAL,LOW
125,2.31,2,62,NORMAL,LOW
101,1.65,2,490,EMERGENCY,HIGH
54,1.22,7,77,EMERGENCY,HIGH
84,2.19,10,243,RURAL,HIGH
145,4.99,6,237,NORMAL,LOW
28,1.59,3,393,RURAL,MEDIUM
120,1.85,6,104,NORMAL,LOW
45,4.1,7,302,RURAL,MEDIUM
40,2.4,3,469,RURAL,MEDIUM
67,1.08,4,325,RURAL,MEDIUM
92,0.95,7,75,RURAL,MEDIUM
53,3.21,6,295,EMERGENCY,HIGH
148,4.09,5,458,NORMAL,LOW
109,1.43,5,248,EMERGENCY,HIGH
118,0.77,10,423,NORMAL,HIGH
93,4.44,6,357,EMERGENCY,HIGH
51,4.81,8,207,NORMAL,HIGH
105,2.98,9,115,NORMAL,HIGH
99,1.54,10,385,EMERGENCY,HIGH
43,3.75,2,238,NORMAL,LOW
72,4.5,3,26,EMERGENCY,HIGH
117,2.45,2,112,NORMAL,LOW
28,3.48,3,242,EMERGENCY,HIGH
139,4.99,5,104,NORMAL,LOW
96,3.0,4,21,NORMAL,LOW
97,1.46,5,314,NORMAL,LOW
56,4.6,2,322,RURAL,MEDIUM
133,4.57,4,374,RURAL,MEDIUM
41,3.36,1,79,NORMAL,LOW
76,2.67,7,230,EMERGENCY,HIGH
102,0.61,8,143,NORMAL,HIGH
99,0.95,4,454,NORMAL,LOW
34,0.09,5,473,EMERGENCY,HIGH
72,4.37,4,160,RURAL,MEDIUM
86,0.26,9,224,EMERGENCY,HIGH
134,2.59,4,25,NORMAL,LOW
66,4.46,1,21,EMERGENCY,HIGH
33,0.12,2,31,EMERGENCY,HIGH
115,0.3,2,256,EMERGENCY,HIGH
47,0.63,4,15,RURAL,MEDIUM
22,4.29,9,149,NORMAL,HIGH
148,2.05,10,116,EMERGENCY,HIGH
100,3.16,6,41,EMERGENCY,HIGH
55,2.98,3,383,NORMAL,LOW
75,4.91,9,436,NORMAL,HIGH
30,2.5,9,201,EMERGENCY,HIGH
140,2.41,1,351,RURAL,MEDIUM
91,1.23,10,467,NORMAL,HIGH
23,1.02,5,489,NORMAL,LOW
78,1.71,4,251,EMERGENCY,HIGH
52,4.01,4,215,EMERGENCY,HIGH
141,3.24,9,427,EMERGENCY,HIGH
40,0.13,8,166,NORMAL,HIGH
46,3.62,2,136,NORMAL,LOW
26,4.97,4,171,NORMAL,LOW
137,1.07,9,219,RURAL,HIGH
47,1.59,4,29,RURAL,MEDIUM
100,0.63,6,106,NORMAL,LOW
101,2.29,2,462,RURAL,MEDIUM
126,2.01,10,432,NORMAL,HIGH
52,3.13,7,300,NORMAL,LOW
30,1.96,7,118,NORMAL,LOW
22,2.29,1,236,RURAL,MEDIUM
124,4.8,3,354,EMERGENCY,HIGH
58,4.99,2,104,NORMAL,LOW
81,4.17,4,145,NORMAL,LOW
78,4.32,6,68,RURAL,MEDIUM
55,4.79,9,466,NORMAL,HIGH
100,4.1,7,13,NORMAL,LOW
138,2.95,3,364,RURAL,MEDIUM
30,4.37,10,226,NORMAL,HIGH
73,3.41,5,477,NORMAL,LOW
50,0.15,3,109,RURAL,MEDIUM
36,4.84,9,130,RURAL,HIGH
108,0.9,10,349,NORMAL,HIGH
49,2.56,5,17,RURAL,MEDIUM
132,4.54,8,384,EMERGENCY,HIGH
76,2.99,8,460,RURAL,HIGH
38,3.11,3,326,EMERGENCY,HIGH
71,4.07,3,355,RURAL,MEDIUM
37,0.84,10,304,NORMAL,HIGH
121,0.27,2,276,RURAL,MEDIUM
138,1.91,8,453,RURAL,HIGH
148,0.66,9,188,NORMAL,HIGH
83,4.03,5,237,EMERGENCY,HIGH
114,4.07,4,143,NORMAL,LOW
96,2.16,7,229,RURAL,MEDIUM
146,0.57,10,202,RURAL,HIGH
72,4.79,1,275,NORMAL,LOW
127,4.08,8,77,EMERGENCY,HIGH
140,1.15,7,369,RURAL,MEDIUM
113,0.16,5,235,EMERGENCY,HIGH
109,2.92,3,209,RURAL,MEDIUM
38,4.48,5,427,EMERGENCY,HIGH
117,3.28,9,197,EMERGENCY,HIGH
63,0.56,1,221,NORMAL,LOW
68,0.71,4,14,RURAL,MEDIUM
82,3.12,10,346,RURAL,HIGH
20,2.46,6,84,EMERGENCY,HIGH
37,2.79,7,196,RURAL,MEDIUM
23,2.34,10,500,RURAL,HIGH
76,3.53,8,478,NORMAL,HIGH
104,4.87,7,105,EMERGENCY,HIGH
129,2.85,6,445,RURAL,MEDIUM
107,4.47,3,112,NORMAL,LOW
58,0.4,1,422,EMERGENCY,HIGH
38,4.47,5,94,EMERGENCY,HIGH
73,4.48,8,140,EMERGENCY,HIGH
80,2.21,4,376,NORMAL,LOW
114,3.22,3,60,RURAL,MEDIUM
24,4.03,5,132,RURAL,MEDIUM
40,2.97,2,492,EMERGENCY,HIGH
25,3.2,2,323,NORMAL,LOW
96,1.34,1,394,EMERGENCY,HIGH
88,3.16,5,219,NORMAL,LOW
75,0.04,3,330,NORMAL,LOW
54,3.15,4,277,EMERGENCY,HIGH
21,0.26,9,387,RURAL,HIGH
139,1.36,3,130,EMERGENCY,HIGH
78,3.16,8,260,RURAL,HIGH
85,1.6,5,145,EMERGENCY,HIGH
21,2.98,7,418,NORMAL,LOW
129,2.11,10,399,RURAL,HIGH
25,2.33,1,140,EMERGENCY,HIGH
94,4.27,10,102,RURAL,HIGH
134,0.97,6,420,NORMAL,LOW
36,1.23,9,141,EMERGENCY,HIGH
68,1.7,6,168,EMERGENCY,HIGH
41,2.05,5,348,EMERGENCY,HIGH
99,2.83,6,338,EMERGENCY,HIGH
73,2.02,9,311,EMERGENCY,HIGH
103,0.35,8,11,NORMAL,HIGH
56,1.7,6,463,EMERGENCY,HIGH
88,1.28,1,20,NORMAL,LOW
127,4.1,3,437,RURAL,MEDIUM
135,1.81,10,258,EMERGENCY,HIGH
88,2.64,5,70,NORMAL,LOW
96,4.99,8,31,RURAL,HIGH
141,4.5,6,134,NORMAL,LOW
148,2.22,9,15,RURAL,HIGH
148,0.68,4,305,EMERGENCY,HIGH
129,4.03,8,329,RURAL,HIGH
45,4.58,8,417,EMERGENCY,HIGH
37,1.66,10,471,RURAL,HIGH
42,4.78,6,400,RURAL,MEDIUM
69,2.61,7,444,NORMAL,LOW
104,3.86,4,251,EMERGENCY,HIGH
110,0.9,2,439,NORMAL,LOW
108,0.57,6,101,RURAL,MEDIUM
125,2.03,3,70,NORMAL,LOW
112,0.79,4,42,EMERGENCY,HIGH
92,3.92,1,224,EMERGENCY,HIGH
61,2.79,5,427,EMERGENCY,HIGH
123,4.67,8,86,EMERGENCY,HIGH
144,4.59,5,228,NORMAL,LOW
93,0.29,3,223,EMERGENCY,HIGH
133,1.58,10,284,RURAL,HIGH
31,3.84,5,451,EMERGENCY,HIGH
50,1.98,4,192,EMERGENCY,HIGH
133,2.77,7,407,RURAL,MEDIUM
110,0.94,9,422,EMERGENCY,HIGH
141,3.93,3,58,NORMAL,LOW
65,3.49,7,133,RURAL,MEDIUM
58,0.98,5,175,RURAL,MEDIUM
53,0.37,4,307,RURAL,MEDIUM
135,2.64,4,289,RURAL,MEDIUM
73,2.78,9,321,EMERGENCY,HIGH
116,1.84,2,406,EMERGENCY,HIGH
92,0.32,4,358,RURAL,MEDIUM
25,3.24,10,75,RURAL,HIGH
144,0.73,9,257,EMERGENCY,HIGH
30,3.96,1,359,RURAL,MEDIUM
92,4.91,9,72,NORMAL,HIGH
29,2.67,2,14,EMERGENCY,HIGH
29,4.28,5,95,EMERGENCY,HIGH
115,2.2,9,429,NORMAL,HIGH
135,3.72,4,156,NORMAL,LOW
75,4.1,1,409,EMERGENCY,HIGH
104,4.13,5,141,RURAL,MEDIUM
64,4.6,4,133,RURAL,MEDIUM
107,3.58,4,490,EMERGENCY,HIGH
125,1.31,1,500,RURAL,MEDIUM
120,3.12,10,386,NORMAL,HIGH
26,4.77,1,144,RURAL,MEDIUM
123,0.13,3,494,RURAL,MEDIUM
97,3.94,10,402,NORMAL,HIGH
150,3.82,3,229,EMERGENCY,HIGH
87,2.15,10,458,NORMAL,HIGH
93,3.29,1,98,EMERGENCY,HIGH
96,2.38,4,256,RURAL,MEDIUM
81,3.39,6,227,EMERGENCY,HIGH
44,1.77,10,126,NORMAL,HIGH
118,1.13,7,60,NORMAL,LOW
27,0.22,4,257,EMERGENCY,HIGH
103,0.08,6,445,NORMAL,LOW
115,2.16,5,95,EMERGENCY,HIGH
127,1.7,1,64,EMERGENCY,HIGH
92,2.46,9,420,EMERGENCY,HIGH
121,4.89,10,53,NORMAL,HIGH
45,1.39,5,369,RURAL,MEDIUM
102,2.9,2,342,NORMAL,LOW
110,2.04,10,319,NORMAL,HIGH
106,3.53,1,141,NORMAL,LOW
87,3.01,9,257,NORMAL,HIGH
91,0.95,8,476,EMERGENCY,HIGH
48,4.22,3,364,NORMAL,LOW
94,3.7,3,407,NORMAL,LOW
34,0.88,7,408,EMERGENCY,HIGH
43,2.2,1,44,NORMAL,LOW
78,4.33,8,337,NORMAL,HIGH
125,2.33,2,173,EMERGENCY,HIGH
112,4.48,8,352,RURAL,HIGH
132,4.33,5,52,EMERGENCY,HIGH
81,0.3,7,253,RURAL,MEDIUM
139,3.99,2,331,RURAL,MEDIUM
134,2.97,7,187,NORMAL,LOW
50,1.9,1,257,EMERGENCY,HIGH
117,1.83,7,321,NORMAL,LOW
129,2.41,9,325,RURAL,HIGH
124,2.7,7,401,NORMAL,LOW
57,4.54,2,92,EMERGENCY,HIGH
118,3.06,9,47,NORMAL,HIGH
59,3.26,6,277,EMERGENCY,HIGH
141,4.5,4,157,NORMAL,LOW
95,4.14,3,38,EMERGENCY,HIGH
130,2.29,9,121,NORMAL,HIGH
105,3.06,5,318,EMERGENCY,HIGH
128,0.28,9,77,RURAL,HIGH
34,4.81,4,31,RURAL,MEDIUM
65,3.42,2,370,RURAL,MEDIUM
62,2.35,7,368,EMERGENCY,HIGH
78,3.08,3,119,RURAL,MEDIUM
86,4.61,3,478,EMERGENCY,HIGH
44,1.45,8,344,EMERGENCY,HIGH
72,1.89,4,286,NORMAL,LOW
29,2.9,2,77,NORMAL,LOW
117,1.27,9,359,NORMAL,HIGH
114,2.0,10,161,EMERGENCY,HIGH
65,2.02,9,233,RURAL,HIGH
127,3.62,10,111,NORMAL,HIGH
32,3.62,10,25,EMERGENCY,HIGH
115,0.25,5,475,NORMAL,LOW
38,2.06,4,322,EMERGENCY,HIGH
148,3.34,6,207,EMERGENCY,HIGH
27,3.44,6,211,EMERGENCY,HIGH
22,4.16,1,65,EMERGENCY,HIGH
59,2.16,4,428,EMERGENCY,HIGH
104,2.02,4,471,RURAL,MEDIUM
131,3.53,3,89,RURAL,MEDIUM
149,2.48,1,241,EMERGENCY,HIGH
42,3.81,6,239,NORMAL,LOW
86,3.06,3,13,EMERGENCY,HIGH
104,2.68,8,14,RURAL,HIGH
57,3.12,5,86,RURAL,MEDIUM
96,1.71,10,371,NORMAL,HIGH
145,1.46,3,336,NORMAL,LOW
98,1.06,9,56,EMERGENCY,HIGH
74,1.94,2,344,NORMAL,LOW
91,1.14,7,292,NORMAL,LOW
110,3.96,9,289,RURAL,HIGH
57,4.72,4,436,EMERGENCY,HIGH
82,1.29,1,23,NORMAL,LOW
65,3.43,10,108,RURAL,HIGH
116,2.49,9,418,NORMAL,HIGH
117,1.96,8,445,RURAL,HIGH
103,1.09,6,417,EMERGENCY,HIGH
141,0.12,8,200,EMERGENCY,HIGH
149,2.4,10,157,EMERGENCY,HIGH
102,3.06,3,434,RURAL,MEDIUM
145,3.29,6,37,NORMAL,LOW
57,0.22,4,75,NORMAL,LOW
37,0.23,1,431,RURAL,MEDIUM
122,3.45,2,92,RURAL,MEDIUM
49,0.44,5,296,NORMAL,LOW
37,2.59,1,268,EMERGENCY,HIGH
28,0.63,8,443,EMERGENCY,HIGH
77,2.07,7,474,EMERGENCY,HIGH
59,0.82,8,214,EMERGENCY,HIGH
81,4.64,5,208,NORMAL,LOW
116,4.54,1,44,EMERGENCY,HIGH
123,0.34,3,86,EMERGENCY,HIGH
72,0.41,1,347,EMERGENCY,HIGH
43,1.25,1,174,NORMAL,LOW
73,2.5,2,324,RURAL,MEDIUM
71,1.2,7,304,RURAL,MEDIUM
55,2.31,3,261,NORMAL,LOW
33,0.73,7,482,NORMAL,LOW
75,1.9,6,245,RURAL,MEDIUM
149,4.27,10,487,EMERGENCY,HIGH
144,2.86,9,494,NORMAL,HIGH
48,2.36,7,267,RURAL,MEDIUM
134,2.08,7,395,EMERGENCY,HIGH
143,1.65,10,127,EMERGENCY,HIGH
77,2.37,5,451,RURAL,MEDIUM
93,3.79,2,461,RURAL,MEDIUM
136,0.94,1,108,RURAL,MEDIUM
52,1.45,3,305,NORMAL,LOW
116,2.17,8,64,NORMAL,HIGH
62,3.39,5,149,EMERGENCY,HIGH
39,0.4,6,353,NORMAL,LOW
132,4.7,8,136,NORMAL,HIGH
116,1.3,5,41,NORMAL,LOW
70,0.93,3,304,RURAL,MEDIUM
33,0.16,1,155,NORMAL,LOW
114,1.91,7,108,RURAL,MEDIUM
149,0.63,6,214,EMERGENCY,HIGH
20,1.47,2,398,EMERGENCY,HIGH
104,4.76,5,241,EMERGENCY,HIGH
27,3.43,3,120,NORMAL,LOW
106,0.56,7,416,RURAL,MEDIUM
81,3.64,5,275,NORMAL,LOW
101,0.68,7,22,EMERGENCY,HIGH
72,1.69,8,352,EMERGENCY,HIGH
101,3.51,6,465,RURAL,MEDIUM
22,0.59,3,493,EMERGENCY,HIGH
49,3.53,6,285,NORMAL,LOW
95,2.73,5,497,NORMAL,LOW
139,0.99,8,248,EMERGENCY,HIGH
27,1.37,10,354,RURAL,HIGH
145,0.21,5,343,NORMAL,LOW
107,2.36,8,129,NORMAL,HIGH
44,0.76,10,320,RURAL,HIGH
91,1.8,10,229,NORMAL,HIGH
80,1.23,6,377,RURAL,MEDIUM
75,2.12,2,485,NORMAL,LOW
142,2.73,5,42,RURAL,MEDIUM
87,3.56,3,316,EMERGENCY,HIGH
40,1.6,8,339,EMERGENCY,HIGH
102,0.16,6,58,NORMAL,LOW
144,3.83,1,483,NORMAL,LOW
111,0.04,9,396,NORMAL,HIGH
80,1.56,8,299,RURAL,HIGH
105,0.5,10,18,NORMAL,HIGH
116,2.75,4,385,EMERGENCY,HIGH
38,0.03,2,393,RURAL,MEDIUM
114,4.85,6,470,NORMAL,LOW
88,2.55,7,235,NORMAL,LOW
77,0.84,4,437,NORMAL,LOW
22,2.14,1,437,EMERGENCY,HIGH
147,0.85,8,95,RURAL,HIGH
40,3.41,1,197,NORMAL,LOW
102,0.15,5,488,EMERGENCY,HIGH
58,4.18,1,19,EMERGENCY,HIGH
68,2.25,2,459,RURAL,MEDIUM
65,3.48,1,23,NORMAL,LOW
70,3.21,4,151,EMERGENCY,HIGH
146,0.38,4,77,RURAL,MEDIUM
132,4.39,6,331,RURAL,MEDIUM
51,0.94,3,386,EMERGENCY,HIGH
125,0.4,6,157,EMERGENCY,HIGH
56,3.62,5,421,EMERGENCY,HIGH
64,4.89,5,388,EMERGENCY,HIGH
26,3.47,1,193,NORMAL,LOW
41,0.45,5,377,NORMAL,LOW
104,0.57,5,42,NORMAL,LOW
119,0.41,5,161,RURAL,MEDIUM
146,2.84,9,394,EMERGENCY,HIGH
81,3.28,2,315,NORMAL,LOW
27,3.64,5,245,RURAL,MEDIUM
80,0.39,9,237,NORMAL,HIGH
78,1.91,8,304,RURAL,HIGH
143,2.53,4,351,EMERGENCY,HIGH
42,2.86,3,461,EMERGENCY,HIGH
42,2.08,6,17,RURAL,MEDIUM
58,4.76,5,341,RURAL,MEDIUM
54,1.03,10,77,NORMAL,HIGH
127,0.49,1,12,NORMAL,LOW
145,4.44,7,45,EMERGENCY,HIGH
106,2.14,1,255,EMERGENCY,HIGH
144,0.14,2,98,RURAL,MEDIUM
75,3.59,8,293,EMERGENCY,HIGH
47,0.13,1,452,RURAL,MEDIUM
53,4.82,2,304,EMERGENCY,HIGH
142,2.08,7,395,EMERGENCY,HIGH
131,0.45,6,349,EMERGENCY,HIGH
88,1.88,6,346,EMERGENCY,HIGH
99,2.22,2,408,EMERGENCY,HIGH
124,3.41,1,317,RURAL,MEDIUM
108,0.06,3,472,RURAL,MEDIUM
32,3.53,2,385,EMERGENCY,HIGH
40,1.94,4,122,RURAL,MEDIUM
51,1.63,7,330,NORMAL,LOW
38,1.44,2,290,RURAL,MEDIUM
43,3.39,10,354,EMERGENCY,HIGH
59,0.83,6,169,RURAL,MEDIUM
20,3.53,4,472,EMERGENCY,HIGH
92,3.64,8,93,RURAL,HIGH
74,4.92,3,473,RURAL,MEDIUM
82,2.13,6,26,NORMAL,LOW
90,1.68,1,181,EMERGENCY,HIGH
122,0.79,7,372,EMERGENCY,HIGH
128,3.13,7,213,NORMAL,LOW
29,3.31,4,370,NORMAL,LOW
111,0.31,4,263,EMERGENCY,HIGH
130,0.23,1,364,NORMAL,LOW
103,2.54,1,382,EMERGENCY,HIGH
33,2.29,8,100,NORMAL,HIGH
58,2.89,1,447,EMERGENCY,HIGH
43,0.8,1,161,NORMAL,LOW
146,0.86,6,211,NORMAL,LOW
143,2.0,2,476,RURAL,MEDIUM
65,4.85,8,488,RURAL,HIGH
68,1.08,8,178,EMERGENCY,HIGH
58,1.86,6,41,RURAL,MEDIUM
135,0.21,5,442,EMERGENCY,HIGH
22,2.19,4,433,EMERGENCY,HIGH
38,1.47,5,163,RURAL,MEDIUM
94,0.23,2,446,RURAL,MEDIUM
132,1.23,7,155,RURAL,MEDIUM
79,3.85,7,66,RURAL,MEDIUM
88,0.32,3,368,RURAL,MEDIUM
24,4.25,4,315,RURAL,MEDIUM
111,1.44,10,326,EMERGENCY,HIGH
31,4.35,9,34,NORMAL,HIGH
64,5.0,7,241,RURAL,MEDIUM
111,0.38,1,89,NORMAL,LOW
126,3.84,6,494,EMERGENCY,HIGH
27,1.3,10,276,EMERGENCY,HIGH
123,2.77,4,137,EMERGENCY,HIGH
49,0.67,3,86,EMERGENCY,HIGH
100,2.16,8,379,RURAL,HIGH
64,3.0,3,132,RURAL,MEDIUM
86,1.93,9,37,NORMAL,HIGH
59,4.26,5,435,RURAL,MEDIUM
139,1.35,4,274,RURAL,MEDIUM
137,0.88,5,494,RURAL,MEDIUM
92,4.92,8,156,NORMAL,HIGH
108,0.92,1,180,NORMAL,LOW
76,2.86,3,274,RURAL,MEDIUM
133,0.74,3,235,EMERGENCY,HIGH
33,2.08,5,300,NORMAL,LOW
113,4.25,3,343,NORMAL,LOW
61,4.24,1,450,EMERGENCY,HIGH
125,2.68,7,316,RURAL,MEDIUM
22,0.85,5,435,RURAL,MEDIUM
21,3.68,9,326,EMERGENCY,HIGH
65,1.56,2,352,RURAL,MEDIUM
34,3.69,10,288,RURAL,HIGH
34,4.67,4,88,RURAL,MEDIUM
35,3.04,2,392,EMERGENCY,HIGH
126,3.93,2,242,RURAL,MEDIUM
139,1.7,4,442,RURAL,MEDIUM
94,1.66,7,320,RURAL,MEDIUM
99,2.41,1,160,EMERGENCY,HIGH
104,0.82,2,315,NORMAL,LOW
33,3.51,1,164,NORMAL,LOW
96,3.24,9,20,RURAL,HIGH
70,0.91,8,363,EMERGENCY,HIGH
49,0.89,7,433,NORMAL,LOW
139,0.1,6,385,NORMAL,LOW
148,2.83,4,263,EMERGENCY,HIGH
65,1.55,2,144,NORMAL,LOW
135,1.91,9,477,RURAL,HIGH
65,3.06,10,250,NORMAL,HIGH
91,2.99,8,105,EMERGENCY,HIGH
30,1.56,8,450,EMERGENCY,HIGH
56,2.27,1,248,NORMAL,LOW
89,2.0,8,165,NORMAL,HIGH
64,1.15,7,61,NORMAL,LOW
101,4.43,4,234,RURAL,MEDIUM
35,3.56,9,145,EMERGENCY,HIGH
137,1.09,2,251,EMERGENCY,HIGH
57,0.75,4,174,RURAL,MEDIUM
31,3.02,9,474,NORMAL,HIGH
141,3.62,6,438,EMERGENCY,HIGH
38,4.15,5,294,RURAL,MEDIUM
128,0.44,10,333,NORMAL,HIGH
144,1.85,10,76,NORMAL,HIGH
47,4.0,6,10,EMERGENCY,HIGH
118,2.34,1,374,RURAL,MEDIUM
51,2.35,2,24,RURAL,MEDIUM
144,3.06,10,78,NORMAL,HIGH
93,1.07,6,228,RURAL,MEDIUM
114,4.1,4,414,NORMAL,LOW
64,2.36,2,10,RURAL,MEDIUM
39,2.15,4,257,NORMAL,LOW
115,2.59,10,188,NORMAL,HIGH
129,2.05,6,321,NORMAL,LOW
130,3.44,7,164,RURAL,MEDIUM
54,4.82,8,422,NORMAL,HIGH
143,2.17,4,137,NORMAL,LOW
92,2.35,1,182,EMERGENCY,HIGH
